,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
72,CAS AH210 B1,42.3499108,-71.1065953,Learning to See,Ribner,0,Discussion,18,18,CAS,B25A,42.35083,-71.10515,,,Wed,16:40:00,17:30:00,Class Full,20208.0,2023-09-06,2023-12-06,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
73,CAS AH210 C1,42.3499108,-71.1065953,Learning to See,Ribner,0,Discussion,18,18,CAS,323B,42.35083,-71.10515,,,Wed,15:35:00,16:25:00,Class Full,20208.0,2023-09-06,2023-12-06,,,,,,,,,,0,18,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
74,CAS AH240 A1,42.3499108,-71.1065953,Medieval Art,Kahn,4,Independent,15,15,CAS,303A,42.35083,-71.10515,,,"Tue,Thu",12:30:00,13:45:00,Class Full,,2023-09-05,2023-12-12,,,,,,,,,,0,15,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
75,CAS AH284 A1,42.3499108,-71.1065953,Arts in America,Barrett,4,Independent,44,44,SOC,B63,42.34954,-71.10491,,,"Mon,Wed,Fri",10:10:00,11:00:00,Class Full,,2023-09-06,2023-12-11,,,,,,,,,,0,44,,AH,725 Commonwealth Avenue,96-100 Cummington Mall
76,CAS AH326 A1,42.3499108,-71.1065953,Arts of Japan,Saunders,4,Independent,24,25,CAS,326,42.35083,-71.10515,,,"Tue,Thu",17:00:00,18:15:00,,,2023-09-05,2023-12-12,,,,,,,,,,0,24,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
77,CAS AH327 A1,42.3499108,-71.1065953,Arts of China,Feng,4,Independent,44,44,EPC,209,42.35,-71.10783,,,"Mon,Wed,Fri",10:10:00,11:00:00,"Mts w/GRS AH727, Class Full",,2023-09-06,2023-12-11,,,,,,,,,,0,44,,AH,725 Commonwealth Avenue,750 Commonwealth Avenue
78,CAS AH352 A1,42.3499108,-71.1065953,Renaiss Venice,Cranston,4,Independent,46,44,CAS,426,42.35083,-71.10515,,,"Tue,Thu",11:00:00,12:15:00,Class Full,,2023-09-05,2023-12-12,,,,,,,,,,0,46,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
79,CAS AH365 A1,42.3499108,-71.1065953,Northrn Baroque,An,4,Independent,43,44,PHO,205,42.34942,-71.1063,,,"Tue,Thu",11:00:00,12:15:00,,20208.0,2023-09-05,2023-12-12,,,,,,,,,,1,42,,AH,725 Commonwealth Avenue,6-8 St. Mary's Street
80,CAS AH367 A1,42.3499108,-71.1065953,Material Cultur,Bunschoten,4,Independent,12,12,HIS,B06,42.35043,-71.10367,,,"Tue,Thu",14:00:00,15:15:00,"Mts w/CAS AM367, Class Full",20208.0,2023-09-05,2023-12-12,,,,,,,,,,0,12,,AH,725 Commonwealth Avenue,226 Bay State Road
81,CAS AH385 A1,42.3499108,-71.1065953,Am Built Enviro,Moore,4,Independent,20,20,STO,453,45.350221,-71.103841,,,"Tue,Thu",12:30:00,13:45:00,"Mts w/CAS AM385, Class Full",,2023-09-05,2023-12-12,,,,,,,,,,0,20,,AH,725 Commonwealth Avenue,675 Commonwealth Avenue
82,CAS AH391 A1,42.3499108,-71.1065953,20C Art to 1940,Sichel,4,Independent,39,44,CAS,313,42.35083,-71.10515,,,"Mon,Wed,Fri",14:30:00,15:20:00,Class Closed,,2023-09-06,2023-12-11,,,,,,,,,,0,39,,AH,725 Commonwealth Avenue,685-725 Commonwealth Avenue
